"","Mesocosm","filename","Run_number","date","sample_name","level_plexiglass","species","specimen_ID","run","duplicate","ob2","ob3","ob4","ob5","ob6","ob7","other","other_count","single_threads_observed","total_threads_observed","one_good_single_break","max_load_recorded","single_threads_broke_on_run","groups_2_or_more_threads","single_threads_available_QC","max_load_QC","notes","byssus_damage","labelling.notes","analysis_date","specimen_label","max_load","dist_max","median","median_last5","variance","num_threads_used","single_breaks","multiple_break_groups","total_thread_breaks","QC_flag","b1","b2","b3","b4","b5","b6","b7","b8","Food","deg.C","deg.F"
"171","14","deltas_PV_170122_2Specimen_RawData_9.csv",170,"1/22/17","","B","T","10",1,"0",1,1,NA,NA,NA,NA,NA,NA,NA,16,NA,0.558,11,2,1,NA,"root slipped",3,"","2019-05-06","14BT_10",0.08602,0.00996915987825229,0.01259,0.00961,0.011528028886154,9,22,0,22,0,22,0,0,0,0,0,0,0,"H","12",53.6
"172","14","deltas_PV_170122_2Specimen_RawData_10.csv",171,"1/22/17","","B","T","14",1,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,9,1,1,NA,"",0,"","2019-05-06","14BT_14",0.55606,0.0825207949141804,0.107845,0.09539,0.0945777174851295,12,23,2,27,0,23,2,0,0,0,0,0,0,"H","12",53.6
"173","3","",172,"1/22/17","","C","G","18",1,"0",NA,1,NA,NA,NA,NA,NA,NA,NA,20,NA,0.25,17,1,1,NA,"",0,"I can't find these force curves. I don't seem to have them on my computer. I could search the computer where I collected this data. Maybe somehow it went into a different folder, or maybe this is what was lost in the power outage, etc???",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","12",53.6
"174","3","",173,"1/22/17","","C","G","20",1,"0",NA,1,NA,NA,NA,NA,NA,NA,NA,17,NA,0.558,14,1,1,NA,"muap",2,"I can't find these force curves. I don't seem to have them on my computer. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","12",53.6
"175","3","",174,"1/22/17","","C","G","17",1,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,1.383,22,2,1,NA,"",0,"I can't find these force curves. I don't seem to have them on my computer. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","12",53.6
"176","22","",175,"1/22/17","","B","T","13",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.034,1,0,1,NA,"muap",2,"I can't find these force curves. I don't seem to have them on my computer. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","18",64.4
"177","22","",176,"1/22/17","","B","T","79",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,12,0,1,NA,"",0,"I can't find these force curves. I don't seem to have them on my computer. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","18",64.4
"178","12","",177,"1/22/17","","A","G","96",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,9,0,1,NA,"muap",2,"I can't find these force curves. I don't seem to have them on my computer. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","12",53.6
"179","12","",178,"1/22/17","","A","G","93",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"",0,"I can't find these force curves. I don't seem to have them on my computer. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","12",53.6
"180","11","",179,"1/22/17","","A","T","NL",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"",0,"I can't find these force curves. I don't seem to have them on my computer. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L","18",64.4
"181","10","deltas_PV_170212_1Specimen_RawData_1.csv",180,"2/12/17","","B","G","U1",1,"0",NA,2,NA,1,NA,NA,NA,NA,NA,19,NA,NA,8,3,1,NA,"final thread 0.11N",0,"","2019-05-06","10BG_Unk1",0.11691,0.0217751931261424,0.0226356589147287,0.0195348837209302,0.0344889686109798,8,7,1,12,0,7,0,0,0,1,0,0,0,"H","21",69.8
"182","10","deltas_PV_170212_1Specimen_RawData_2.csv",181,"2/12/17","","B","G","U2",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,8,0,1,NA,"muap",2,"","2019-05-06","10BG_Unk2",0.64592,0.151701946247509,0.20626,0.20626,0.109153715145202,5,11,0,11,0,11,0,0,0,0,0,0,0,"H","21",69.8
"183","10","",182,"2/12/17","","B","G","67",1,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0,1,0,NA,"muap",2,"No single threads broke, yay the software didn't pick up on any breaks!!!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","21",69.8
"184","9","deltas_PV_170212_1Specimen_RawData_4.csv",183,"2/12/17","","A","G","77",1,"0",3,1,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,19,4,1,NA,"good",0,"","2019-05-06","9AG_77",1.5865,0.0722607714059735,0.17626,0.21165,0.0993864227434059,19,20,2,24,0,20,2,0,0,0,0,0,0,"L","12",53.6
"185","9","deltas_PV_170212_1Specimen_RawData_5.csv",184,"2/12/17","","A","G","80",1,"0",2,NA,NA,1,NA,NA,NA,NA,NA,12,NA,NA,3,3,1,NA,"",0,"","2019-05-06","9AG_80",0.51878,0.0077332539489097,0.00861999999999999,0.00861999999999999,0.177772403440467,4,0,13,32,1,0,12,0,0,0,0,0,1,"L","12",53.6
"186","9","deltas_PV_170212_1Specimen_RawData_6.csv",185,"2/12/17","","A","G","79",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,12,0,1,NA,"",0,"","2019-05-06","9AG_79",0.58789,0.0581499444019096,0.09935,0.0223,0.0889987982797414,15,20,4,28,0,20,4,0,0,0,0,0,0,"L","12",53.6
"187","9","deltas_PV_170212_1Specimen_RawData_7.csv",186,"2/12/17","","D","T","73",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,19,0,1,NA,"",0,"","2019-05-06","9DT_73",0.29008,0.137475152274322,0.09745,0.09745,0.0573499058412479,9,18,0,18,0,18,0,0,0,0,0,0,0,"L","12",53.6
"188","9","deltas_PV_170212_1Specimen_RawData_8.csv",187,"2/12/17","","D","T","76",1,"0",NA,NA,NA,1,NA,NA,NA,NA,NA,8,NA,0.155,3,1,1,NA,"offset of .12N, so use the max_load_recorded value",0,"It seems this is mislabelled as 9AG_76 on the instron file","2019-05-06","9AG_76",0.2751,0.141189066701799,0.12899,0.12899,0.0716713201589962,3,11,0,11,0,11,0,0,0,0,0,0,0,"L","12",53.6
"189","9","deltas_PV_170212_1Specimen_RawData_9.csv",188,"2/12/17","","D","T","77",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,8,0,1,NA,"",0,"It seems this is mislabelled as 9DG_76 on the instron file. ","2019-05-06","9DG_77",0.07952,0.00666720941622486,0.00978593272171255,0.00978593272171255,0.0276289658684466,7,0,7,19,1,0,6,0,0,0,0,1,0,"L","12",53.6
"190","12","deltas_PV_170212_1Specimen_RawData_10.csv",189,"2/12/17","","B","T","95",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,8,0,1,NA,"",0,"","2019-05-06","12BT_95",0.39216,0.362128059738624,0.202885,0.202885,0.228331850712948,2,12,0,12,0,12,0,0,0,0,0,0,0,"L","12",53.6
"191","12","deltas_PV_170212_2Specimen_RawData_1.csv",190,"2/12/17","","B","T","91",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,8,0,1,NA,"",0,"","2019-05-06","12BT_91",0.13297,0.0246433123095371,0.02405,0.02405,0.0427319739773393,5,7,2,15,0,7,0,1,0,1,0,0,0,"L","12",53.6
"193","9","deltas_PV_170212_2Specimen_RawData_3.csv",192,"2/12/17","","C","G","75",2,"0",NA,2,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,2,1,NA,"",0,"","2019-05-06","9CG_75_run2",0.46556,0.0884631248858828,0.09275,0.09275,0.198932218607243,3,17,1,21,0,17,0,0,1,0,0,0,0,"L","12",53.6
"196","9","deltas_PV_170212_2Specimen_RawData_4.csv",195,"2/12/17","","C","G","74",3,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1,NA,"muap, damaged prior",2,"","2019-05-06","9CG_74",0.06649,0.00456959209045599,0.0067,0.0067,0.00305470129472589,2,0,12,36,1,0,0,12,0,0,0,0,0,"L","12",53.6
"197","9","deltas_PV_170212_2Specimen_RawData_5.csv",196,"2/12/17","","C","G","78",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"",0,"","2019-05-06","9CG_78",0.35192,0.0353403158722521,0.0352,0.0352,0.0148262041669471,5,8,1,10,0,8,1,0,0,0,0,0,0,"L","12",53.6
"199","9","deltas_PV_170212_2Specimen_RawData_6.csv",198,"2/12/17","","C","G","76",2,"0",NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,NA,3,1,1,NA,"",0,"","2019-05-06","9CG_76",0.71948,0.0161493964222051,0.020395,0.020395,0.0737755038387856,4,17,1,25,0,17,0,0,0,0,0,0,1,"L","12",53.6
"200","14","deltas_PV_170212_2Specimen_RawData_7.csv",199,"2/12/17","","A","G","11",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,6,0,1,NA,"",0,"","2019-05-06","14AG_11",0.17125,0.00589741731078046,0.00736499999999999,0.00736499999999999,0.00641320707602678,4,0,10,30,1,0,0,10,0,0,0,0,0,"H","12",53.6
"202","14","deltas_PV_170212_2Specimen_RawData_9.csv",201,"2/12/17","","A","G","U",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,10,0,1,NA,"",0,"","2019-05-06","14AG_Unk",0.65532,0.198383630786858,0.19536,0.2057,0.0748312278916882,10,24,0,24,0,24,0,0,0,0,0,0,0,"H","12",53.6
"203","14","deltas_PV_170212_2Specimen_RawData_10.csv",202,"2/12/17","","A","G","70",1,"0",NA,1,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,23,1,1,NA,"",0,"","2019-05-06","14AG_70",1.15301,0.0552138700756606,0.0855399999999999,0.17708,0.137993958967043,31,61,10,93,0,61,3,2,5,0,0,0,0,"H","12",53.6
"204","13","deltas_PV_170212_3Specimen_RawData_1.csv",203,"2/12/17","","B","G","8",1,"0",1,1,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,7,2,1,NA,"",0,"","2019-05-06","13BG_8",0.33378,0.0812014359509665,0.12758,0.0953,0.092021516759216,6,15,0,15,0,15,0,0,0,0,0,0,0,"H","15",59
"205","13","",204,"2/12/17","","B","G","6",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"glued in wrong place",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H","15",59
"206","13","deltas_PV_170212_3Specimen_RawData_3.csv",205,"2/12/17","","B","G","2",1,"0",NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,5,1,1,NA,"",0,"","2019-05-06","13BG_2",0.49497,0.170134461629552,0.17582,0.17582,0.0834107740043215,5,11,1,13,0,11,1,0,0,0,0,0,0,"H","15",59
"207","13","deltas_PV_170212_3Specimen_RawData_4.csv",206,"2/12/17","","B","G","3",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"",0,"","2019-05-06","13BG_3",0.01368,0.0119493937603504,0.00679842931937175,0.00679842931937175,0.00738574884014224,2,0,2,6,1,0,0,2,0,0,0,0,0,"H","15",59
"208","5","deltas_PV_170212_3Specimen_RawData_5.csv",207,"2/12/17","","A","G","40",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,0,1,NA,"",0,"","2019-05-06","5AG_40",0.07374,0.0115434598756119,0.01624,0.01624,0.0241599054909851,3,12,1,16,0,12,0,0,1,0,0,0,0,"H","21",69.8
"209","5","deltas_PV_170212_3Specimen_RawData_6.csv",208,"2/12/17","","A","G","30",1,"0",NA,1,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,13,1,1,NA,"",0,"","2019-05-06","5AG_30",0.15115,0.0176160903570618,0.01805,0.01805,0.0385131754079042,5,7,1,13,0,7,0,0,0,0,1,0,0,"H","21",69.8
"210","5","deltas_PV_170212_3Specimen_RawData_7.csv",209,"2/12/17","","A","G","34",1,"0",1,2,NA,1,NA,NA,NA,NA,NA,19,NA,NA,6,4,1,NA,"",0,"","2019-05-06","5AG_34",0.03571,0.0109479408714352,0.00792,0.00792,0.0043416356364854,2,0,3,9,1,0,0,3,0,0,0,0,0,"H","21",69.8
"211","17","deltas_PV_170212_3Specimen_RawData_8.csv",210,"2/12/17","","D","G","34",1,"0",NA,1,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,8,1,1,NA,"",0,"","2019-05-06","17DG_34",0.10603,NA,0.0852,0.0852,NA,1,9,0,9,0,9,0,0,0,0,0,0,0,"L","12",53.6
"212","4","deltas_PV_170212_3Specimen_RawData_9.csv",211,"2/12/17","","A","T","30",1,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,8,1,1,NA,"",0,"","2019-05-06","4AT_30",0.08356,NA,0.08366,0.08366,NA,1,4,0,4,1,4,0,0,0,0,0,0,0,"L","21",69.8
"213","12","deltas_PV_170212_3Specimen_RawData_10.csv",212,"2/12/17","","D","T","92",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,"",0,"","2019-05-06","12DT_92",0.01519,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"L","12",53.6
"214","2","deltas_PV_170225_1Specimen_RawData_1.csv",213,"2/25/17","","A","T","11",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,0.12,23,0,1,NA,"this is the better run with more threads of the two",0,"","2019-05-06","2AT_11",0.12005,0.0156311481248667,0.01738,0.0174,0.0447731885916858,6,12,1,19,0,12,0,0,0,0,0,1,0,"H","12",53.6
"216","2","deltas_PV_170225_1Specimen_RawData_3.csv",215,"2/25/17","","A","T","13",1,"0",NA,NA,NA,NA,1,1,NA,NA,NA,7,0.109,0.109,-6,2,0,NA,"1 real break, use the good_single_break value",0,"","2019-05-06","2AT_13",0.10934,NA,0.11527,0.11527,NA,1,2,0,2,1,2,0,0,0,0,0,0,0,"H","12",53.6
"218","2","deltas_PV_170225_1Specimen_RawData_5.csv",217,"2/25/17","","A","T","15",2,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,0,1,NA,"",0,"","2019-05-06","2AT_15",0.21246,0.0519217813394894,0.05882,0.05882,0.0751368775635506,5,9,1,12,0,9,0,1,0,0,0,0,0,"H","12",53.6
"219","5","deltas_PV_170225_1Specimen_RawData_6.csv",218,"2/25/17","","C","G","38",1,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,8,1,1,NA,"dirty plate",1,"","2019-05-06","5CG_38",0.28303,0.0219903972218887,0.024885,0.024885,0.135927071224487,4,9,1,17,0,9,0,0,0,0,0,0,1,"H","21",69.8
"220","5","deltas_PV_170225_1Specimen_RawData_7.csv",219,"2/25/17","","C","G","36",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,11,0,1,NA,"",0,"","2019-05-06","5CG_36",0.35865,0.125552790471514,0.11081,0.11986,0.0434426475942708,6,13,0,13,0,13,0,0,0,0,0,0,0,"H","21",69.8
"221","5","deltas_PV_170225_1Specimen_RawData_8.csv",220,"2/25/17","","C","G","33",1,"0",1,NA,1,NA,NA,NA,NA,NA,NA,15,NA,NA,9,2,1,NA,"",0,"","2019-05-06","5CG_33",0.06402,0.013001080728402,0.02019,0.02019,0.019392815164385,5,14,1,17,0,14,0,1,0,0,0,0,0,"H","21",69.8
"222","1","deltas_PV_170225_1Specimen_RawData_9.csv",221,"2/25/17","","B","G","8",1,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,20,1,1,NA,"",0,"","2019-05-06","1BG_8",0.26037,0.0238471564733774,0.035125,0.04206,0.0638198682117993,14,20,6,38,0,20,3,2,0,0,1,0,0,"L","15",59
"223","1","deltas_PV_170225_1Specimen_RawData_10.csv",222,"2/25/17","","B","G","5",1,"0",NA,1,1,NA,NA,NA,NA,NA,NA,10,NA,NA,3,2,1,NA,"",0,"","2019-05-06","1BG_5",0.25051,0.0335556715045274,0.06087,0.06087,0.114080733401102,3,22,1,25,0,22,0,1,0,0,0,0,0,"L","15",59
"225","1","deltas_PV_170225_2Specimen_RawData_2.csv",224,"2/25/17","","B","G","6",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,21,0,1,NA,"",0,"","2019-05-06","1BG_6",0.15376,0.0497091767142699,0.06354,0.04391,0.0402514309121575,7,16,0,16,0,16,0,0,0,0,0,0,0,"L","15",59
"226","6","deltas_PV_170225_2Specimen_RawData_3.csv",225,"2/25/17","","B","G","41",1,"0",1,1,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,11,2,1,NA,"beautiful breaks",0,"","2019-05-06","6BG_41",1.72377,0.136539344370936,0.15591,0.19576,0.10161187468828,25,51,2,55,0,51,2,0,0,0,0,0,0,"H","15",59
"227","1","deltas_PV_170225_2Specimen_RawData_4.csv",226,"2/25/17","","C","T","3",1,"0",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,1,0,NA,"3 threads well attached",0,"","2019-05-06","1CT_3",0.09211,0.0640544222992334,0.05464,0.05464,0.0291425568541952,5,9,0,9,0,9,0,0,0,0,0,0,0,"L","15",59
"228","1","deltas_PV_170225_2Specimen_RawData_5.csv",227,"2/25/17","","C","T","6",1,"0",NA,1,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,17,1,1,NA,"",0,"","2019-05-06","1CT_6",0.03198,0.0069850764974777,0.00729,0.00729,0.00228081125917951,3,0,6,18,1,0,0,6,0,0,0,0,0,"L","15",59
"229","5","deltas_PV_170225_2Specimen_RawData_6.csv",228,"2/25/17","","D","T","35",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,8,0,1,NA,"",0,"","2019-05-06","5DT_35",0.1718,0.0313670335662367,0.04198,0.0383,0.0445734613460031,11,21,3,27,0,21,3,0,0,0,0,0,0,"H","21",69.8
"230","1","deltas_PV_170225_2Specimen_RawData_7.csv",229,"2/25/17","","D","G","2",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,17,0,1,NA,"",0,"","2019-05-06","1DG_2",0.0985,0.00871961119179305,0.009075,0.00905,0.0178908620995934,6,0,9,24,1,0,8,0,0,0,0,0,1,"L","15",59
"231","1","deltas_PV_170225_2Specimen_RawData_8.csv",230,"2/25/17","","D","G","U",1,"0",NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,3,0,NA,"",0,"","2019-05-06","1DG_unk",0.4118,0.0369762321614833,0.055125,0.07726,0.115060938194568,8,14,2,23,0,14,0,1,0,0,1,0,0,"L","15",59
"232","1","deltas_PV_170225_2Specimen_RawData_9.csv",231,"2/25/17","","D","G","3",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,1,NA,"",0,"","2019-05-06","1DG_3",0.02647,0.0228776489048765,0.0186926605504588,0.0186926605504588,0.00600067681282163,2,2,0,2,1,2,0,0,0,0,0,0,0,"L","15",59
"233","1","deltas_PV_170226_1Specimen_RawData_1.csv",232,"2/26/27","","A","T","2",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,"",0,"","2019-05-06","1AT_2",0.0747,NA,0.08317,0.08317,NA,1,3,0,3,1,3,0,0,0,0,0,0,0,"L","15",59
"235","1","deltas_PV_170226_1Specimen_RawData_3.csv",234,"2/26/27","","A","T","7",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,13,0,1,NA,"",0,"","2019-05-06","1AT_7",0.00847,0.00477911996067765,0.0044894374554949,0.0044894374554949,0.000415363423913778,2,0,2,10,1,0,0,0,0,2,0,0,0,"L","15",59
"237","4","deltas_PV_170226_1Specimen_RawData_5.csv",236,"2/26/27","","B","G","28",2,"0",1,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,4,2,1,NA,"",0,"","2019-05-06","4BG_28",0.36069,0.0973288883746016,0.11195,0.12622,0.104877961247143,8,12,2,16,0,12,2,0,0,0,0,0,0,"L","21",69.8
"238","4","deltas_PV_170226_1Specimen_RawData_6.csv",237,"2/26/27","","B","G","29",1,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,15,1,1,NA,"",0,"","2019-05-06","4BG_29",0.86594,0.108338359766275,0.13098,0.14832,0.118059556364959,11,10,3,17,0,10,2,1,0,0,0,0,0,"L","21",69.8
"239","4","deltas_PV_170226_1Specimen_RawData_7.csv",238,"2/26/27","","B","G","U",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,0,1,NA,"",0,"","2019-05-06","4BG_Unk",0.0558,0.010640614440743,0.009245,0.009245,0.00200111219075793,2,0,8,22,1,0,7,0,0,0,0,0,1,"L","21",69.8
"240","6","deltas_PV_170226_1Specimen_RawData_8.csv",239,"2/26/27","","A","T","44",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,10,0,1,NA,"",0,"","2019-05-06","6AT_44",0.06217,0.0190540253428706,0.01963,0.01963,0.0183044700824689,4,6,1,9,0,6,0,1,0,0,0,0,0,"H","15",59
"241","6","deltas_PV_170226_1Specimen_RawData_9.csv",240,"2/26/27","","A","T","47",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,6,0,1,NA,"",0,"","2019-05-06","6AT_47",0.19279,0.0529350001434538,0.05984,0.05984,0.0772028619935816,3,8,1,10,0,8,1,0,0,0,0,0,0,"H","15",59
"242","2","deltas_PV_170226_1Specimen_RawData_10.csv",241,"2/26/27","","B","G","13",1,"0",NA,1,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,9,1,1,NA,"",0,"","2019-05-06","2BG_13",0.69358,0.025871766620612,0.029755,0.029755,0.0410840823799194,4,6,1,10,0,6,0,0,1,0,0,0,0,"H","12",53.6
"243","2","deltas_PV_170226_2Specimen_RawData_1.csv",242,"2/26/27","","B","G","14",1,"0",1,1,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,4,2,1,NA,"",0,"","2019-05-06","2BG_14",0.05342,0.0132746129342235,0.012005,0.012005,0.00492590008695534,4,0,6,12,1,0,6,0,0,0,0,0,0,"H","12",53.6
"244","7","deltas_PV_170226_2Specimen_RawData_2.csv",243,"2/26/27","","B","T","54",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,6,0,1,NA,"",0,"","2019-05-06","7BT_54",0.12958,0.140768208688848,0.13344,0.13344,0.0105076067684321,2,3,0,3,1,3,0,0,0,0,0,0,0,"H","18",64.4
"245","5","deltas_PV_170226_2Specimen_RawData_3.csv",244,"2/26/27","","B","T","33",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,0,1,NA,"plate is mucky",1,"","2019-05-06","5BT_33",0.16845,0.0891303571149178,0.07678,0.07678,0.0468083881371705,3,8,0,8,0,8,0,0,0,0,0,0,0,"H","21",69.8
"246","7","deltas_PV_170226_2Specimen_RawData_4.csv",245,"2/26/27","","D","T","51",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,0,1,NA,"",0,"","2019-05-06","7DT_51",0.08631,NA,0.06573,0.06573,NA,1,2,0,2,1,2,0,0,0,0,0,0,0,"H","18",64.4
"247","8","deltas_PV_170226_2Specimen_RawData_5.csv",246,"2/26/27","","C","G","U",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,0,1,NA,"",0,"","2019-05-06","8CG_unk",0.04714,0.0043527420695171,0.00599,0.00599,0.00234759451353934,2,0,6,24,1,0,0,0,6,0,0,0,0,"L","21",69.8
"248","8","deltas_PV_170226_2Specimen_RawData_6.csv",247,"2/26/27","","C","G","70",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,6,0,1,NA,"muap",2,"","2019-05-06","8CG_70",0.1626,0.00747175274982524,0.00793,0.00739,0.0586444015108981,7,0,8,29,1,0,0,7,0,0,0,0,1,"L","21",69.8
"249","8","deltas_PV_170226_2Specimen_RawData_7.csv",248,"2/26/27","","A","G","U",1,"0",NA,2,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,15,2,1,NA,"",0,"","2019-05-06","8AG_unk",0.27619,0.0407044071028244,0.052145,0.02838,0.0649997465791763,8,14,3,22,0,14,2,0,1,0,0,0,0,"L","21",69.8
"250","8","deltas_PV_170226_2Specimen_RawData_8.csv",249,"2/26/27","","A","G","68",1,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,9,2,1,NA,"",0,"","2019-05-06","8AG_68",0.28868,0.0799875340769785,0.09141,0.1268,0.0502527345204787,8,22,0,22,0,22,0,0,0,0,0,0,0,"L","21",69.8
"251","8","deltas_PV_170226_2Specimen_RawData_9.csv",250,"2/26/27","","A","G","69",1,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,8,2,1,NA,"",0,"","2019-05-06","8AG_69",0.14711,0.0126380808093251,0.01712,0.00886,0.0392249151870157,8,30,1,37,0,30,0,0,0,0,0,1,0,"L","21",69.8
"252","7","deltas_PV_170226_2Specimen_RawData_10.csv",251,"2/26/27","","A","G","53",1,"0",NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,2,1,1,NA,"",0,"","2019-05-06","7AG_53",0.0332,NA,0.0276,0.0276,NA,1,1,0,1,1,1,0,0,0,0,0,0,0,"H","18",64.4
"253","7","deltas_PV_170226_3Specimen_RawData_1.csv",252,"2/26/27","","A","G","75",1,"0",4,NA,NA,1,NA,NA,NA,NA,NA,22,NA,NA,9,5,1,NA,"",0,"Labelled in instron file as 7AG53, but this must be 7AG75","2019-05-06","7AG_53",0.03831,0.0226362393275146,0.02071,0.02071,0.00883158724880943,3,9,0,9,0,9,0,0,0,0,0,0,0,"H","18",64.4
"254","7","deltas_PV_170226_3Specimen_RawData_2.csv",253,"2/26/27","","C","G","50",1,"0",NA,NA,NA,1,NA,NA,NA,NA,NA,10,NA,NA,5,1,1,NA,"",0,"","2019-05-06","7CG_50",0.10801,NA,0.07747,0.07747,NA,1,8,0,8,0,8,0,0,0,0,0,0,0,"H","18",64.4
"255","7","deltas_PV_170226_3Specimen_RawData_3.csv",254,"2/26/27","","C","G","52",1,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,8,0,1,NA,"mucky plate",2,"","2019-05-06","7CG_52",0.04258,0.018525058709787,0.01169,0.01169,0.00980049998724555,2,0,6,12,1,0,6,0,0,0,0,0,0,"H","18",64.4
